DAG_File,LOC,Has_PythonOperator,Has_EmptyOperator,Classification
address_normalization_dag.py,393,Yes,No,REAL
discovery_dag.py,19,Yes,No,MINIMAL
discovery_offmarket.py,13,No,Yes,STUB
docgen_packet.py,13,No,Yes,STUB
enrichment_property.py,13,No,Yes,STUB
example_hello_world.py,18,Yes,No,MINIMAL
example_test_dag.py,18,Yes,No,MINIMAL
hazards_etl_pipeline.py,473,Yes,No,REAL
lease_processing_pipeline.py,368,Yes,No,REAL
minimal_e2e_pipeline.py,438,Yes,No,REAL
property_ingestion_with_gx_gates.py,418,Yes,Some,REAL
property_pipeline_with_lineage.py,578,Yes,No,REAL
property_pipeline_with_provenance.py,481,Yes,No,REAL
property_processing_pipeline.py,12,No,Yes,STUB
score_master.py,13,No,Yes,STUB
scrape_listings_dag.py,29,Yes,No,MINIMAL
sys_heartbeat.py,13,No,Yes,STUB
